x,Firm,City,State,Seed,Early Vent.,Late Vent.,# of Funds,Total Fund Raised ($M),# of Investments,# of Exits,1,#,2,#_2,3,#_3,4,#_4,5,#_5,Website,Crunchbase URL,LinkedIn URL,col_25,State_2,Count,linkedin-private-codex,linkedin-private-claude,linkedin-private-cursor
,Cantos,San Francisco,CA,1,1,,2,$5.0,30,,Health Care,5,FinTech,5,Financial Service,4,Artificial Intelligence,4,Biotechnology,3,cantos.vc,https://www.crunchbase.com/organization/cantos-ventures,https://www.linkedin.com/company/cantos-ventures/,x,,,,,"https://www.linkedin.com/in/ianrountree, https://www.linkedin.com/in/grantwgregory, https://www.linkedin.com/in/amee-kapadia-, https://www.linkedin.com/in/matthewantongarcia, https://www.linkedin.com/in/miguel-cantos-cantos-717864111, https://www.linkedin.com/in/ian-rountree-07b0b7181, https://www.linkedin.com/in/cantosai, https://www.linkedin.com/in/victoria-cantos-4a97441"
,Canyon Creek Capital,Santa Monica,CA,1,1,,1,,43,8,Software,8,Mobile,8,SaaS,7,E-Commerce,6,Internet,4,canyoncreekcapital.com,https://www.crunchbase.com/organization/canyon-creek-capital,https://www.linkedin.com/company/canyon-creek-capital/,x,,,,,"https://www.linkedin.com/in/brittneeallen, https://www.linkedin.com/in/annie-a-088b036, https://www.linkedin.com/in/philip-b-crawford-840aa580, https://www.linkedin.com/in/amanda-minter-21a3245b, https://www.linkedin.com/in/audrianna-cave-770726a1, https://www.linkedin.com/in/bonnie-ann-marshall-0b5a0b1b, https://www.linkedin.com/in/caroline-gikonto-01281027a"
,Capital Innovators,St. Louis,MO,1,,,1,$3.1,90,3,Software,16,Mobile,14,SaaS,12,Health Care,9,Advertising,7,capitalinnovators.com,https://www.crunchbase.com/organization/capital-innovators,linkedin.com/company/2340156,x,,,,,"https://www.linkedin.com/in/judysindecuse, https://www.linkedin.com/in/rich-kampf-12486019, https://www.linkedin.com/in/michaelof, https://www.linkedin.com/in/rob-helvey, https://www.linkedin.com/in/natalieameyer, https://www.linkedin.com/in/johnlowrey"
,Casa Verde Capital,Los Angeles,CA,1,,,1,$45.0,17,,Cannabis,11,SaaS,3,E-Commerce,2,Pharmaceutical,1,Management Information System,1,casaverdecapital.com,https://www.crunchbase.com/organization/casa-verde-capital,https://www.linkedin.com/company/casa-verde-capital/,x,,,,,"https://www.linkedin.com/in/tony-ghanem, https://www.linkedin.com/in/karan-wadhera, https://www.linkedin.com/in/david-colton-1a097912a, https://www.linkedin.com/in/alexander-dann-cpa-4995a6b0, https://www.linkedin.com/in/rushilshahusc, https://www.linkedin.com/in/caitlyn-ann-thomas-hoffman"
,Cayuga Ventures,Ithaca,NY,1,1,1,3,$137.0,25,5,Manufacruring,4,Telecommunications,3,Social Media,2,SaaS,2,Consumer Electronics,2,cayugaventures.com,https://www.crunchbase.com/organization/cayuga-venture-fund,https://www.linkedin.com/company/cayuga-venture-fund/,x,,,,,"https://www.linkedin.com/in/kim-stedman-05702b123, https://www.linkedin.com/in/stephen-lichaw-734669a, https://www.linkedin.com/in/todd-gillis-157b5257, https://www.linkedin.com/in/andrea-ashford-hicks, https://www.linkedin.com/in/brianlinney, https://www.linkedin.com/in/margaret-vence-2a095b82, https://www.linkedin.com/in/daniel-ateya-62003838"
,Center Electric,San Francisco,CA,1,1,,,,13,2,Consumer Electronics,3,Internet,2,Cloud Computing,2,Smart Home,2,Software,2,cen.vc,https://www.crunchbase.com/organization/center-electric,https://www.linkedin.com/company/center-electric-llc/,x,,,,,"https://www.linkedin.com/in/don-johnson-28337613b, https://www.linkedin.com/in/morgan-whitman-89b573226, https://www.linkedin.com/in/linda-huang-6b2ba4191, https://www.linkedin.com/in/adam-sharp3333, https://www.linkedin.com/in/paolo-barrios-1a4046372, https://www.linkedin.com/in/sheapuddephatt, https://www.linkedin.com/in/adishwan-gounder-1ba552157, https://www.linkedin.com/in/ionel-dumitru-647513229"
,Cervin Ventures,Menlo Park,CA,1,1,1,1,$56.0,30,5,SaaS,12,Enterprise Software,6,Mobile,6,Software,5,Advertising,4,cervinventures.com,https://www.crunchbase.com/organization/cervin-ventures#section-investments,https://www.linkedin.com/company/cervin-ventures/,x,,,,,"https://www.linkedin.com/in/neerajgupta123, https://www.linkedin.com/in/maheshwarinilesh, https://www.linkedin.com/in/taylor-oliver-472a9452, https://www.linkedin.com/in/rsbrown7, https://www.linkedin.com/in/sathaye, https://www.linkedin.com/in/daniel-karp-2771242"
,Chaac Ventures,Santa Monica,CA,1,,,,,13,,Internet,2,Digital Media,2,Computer,2,Sports,2,Network Security,1,chaacventures.com,https://www.crunchbase.com/organization/chaac-ventures,https://www.linkedin.com/company/lancet-ventures/,x,,,"https://www.linkedin.com/in/luarmour, https://www.linkedin.com/in/andrew-armour-64a0b33, https://www.linkedin.com/in/charlie-boyd-90027",,"https://www.linkedin.com/in/luarmour, https://www.linkedin.com/in/andrew-armour-64a0b33, https://www.linkedin.com/in/charlie-boyd-90027"
,Charlottesville Angel Network,Charlottesville,VA,1,,,,,5,,Network Security,1,Food & Beverage,1,SaaS,0,Snack Food,1,Computer,1,cvilleangelnetwork.net,https://www.crunchbase.com/organization/charlottesville-angel-network,linkedin.com/company/18279443,x,,,,,"https://www.linkedin.com/in/johnmccray, https://www.linkedin.com/in/rick-kulow-963a363b, https://www.linkedin.com/in/traceylynngreene, https://www.linkedin.com/in/rebeccahaydock, https://www.linkedin.com/in/danseideman, https://www.linkedin.com/in/michael-fraser-1876247, https://www.linkedin.com/in/andrewcarter7, https://www.linkedin.com/in/cameronrnelson"
,Chattanooga Renaissance,Chattanooga,TN,1,1,,2,$11.0,46,3,Health Care,8,SaaS,6,E-Commerce,4,Software,4,Big Data,4,chattanoogarenaissancefund.com,https://www.crunchbase.com/organization/chattanooga-renaissance-fund#section-exits,https://www.linkedin.com/company/chattanooga-renaissance-fund/,x,,,https://www.linkedin.com/in/courtneyowatson,,https://www.linkedin.com/in/courtneyowatson
,Chicago Ventures,Chicago,IL,1,1,,2,$106.0,118,18,Internet,10,Health Care,10,SaaS,10,E-Commerce,9,Finance,9,chicagoventures.com,https://www.crunchbase.com/organization/chicago-ventures,https://www.linkedin.com/company/chicago-ventures/,x,,,"https://www.linkedin.com/in/robchesney, https://www.linkedin.com/in/lindsayclaireknight, https://www.linkedin.com/in/stuartlarkins, https://www.linkedin.com/in/kwiller",,"https://www.linkedin.com/in/robchesney, https://www.linkedin.com/in/lindsayclaireknight, https://www.linkedin.com/in/stuartlarkins, https://www.linkedin.com/in/kwiller"
,Chilango Ventures,San Francisco,CA,1,1,,,,2,,E-Commerce,1,Mobile Payments,1,Higher Education,1,Finance,1,Mobile,1,chilangoventures.com,https://www.crunchbase.com/organization/chilango-ventures,https://www.linkedin.com/company/chilango-ventures/,x,,,,,"https://www.linkedin.com/in/shelly-lozano-cant, https://www.linkedin.com/in/vanessa-arochi-64ab4245, https://www.linkedin.com/in/ernesto-rivera-888889305, https://www.linkedin.com/in/joseph-chilango-1509498, https://www.linkedin.com/in/andrew-chihuwa-211620247, https://www.linkedin.com/in/meztizo-chilango-87b5a5360, https://www.linkedin.com/in/armando-guti, https://www.linkedin.com/in/chilango-ventures-329161b5"
,Chloe Capital,Ithaca,NY,1,,,,,1,,,,,,,,,,,,chloecapital.com,https://www.crunchbase.com/organization/chloe-capital,linkedin.com/company/11154707,x,,,,,"https://www.linkedin.com/in/jody-r-weiss-78ba59, https://www.linkedin.com/in/kathryncartini, https://www.linkedin.com/in/elisamillerout, https://www.linkedin.com/in/caranichols, https://www.linkedin.com/in/ninasharma, https://www.linkedin.com/in/gabriel-frydman"
,Cicada Capital,Scottsdale,AZ,1,,,,,,,,,,,,,,,,,cicadacapital.com,https://www.crunchbase.com/organization/cicada-capital,linkedin.com/company/28996975,x,,,,,"https://www.linkedin.com/in/alexstroke, https://www.linkedin.com/in/ivaninskiykirill, https://www.linkedin.com/in/kirfomin1, https://www.linkedin.com/in/rustam-mustafaev, https://www.linkedin.com/in/kert-kaiser-62456783, https://www.linkedin.com/in/maksim-ivanov-defi"
,CincyTech USA,Cincinnati,OH,1,,,4,$46.9,77,8,Software,12,Internet,10,Health Care,10,Mobile,10,Information Technology,9,cincytechusa.com,https://www.crunchbase.com/organization/cincytech#section-overview,linkedin.com/company/472664,x,,,,,"https://www.linkedin.com/in/seankwiat, https://www.linkedin.com/in/zeeniakaul, https://www.linkedin.com/in/kenny-morand-1272761, https://www.linkedin.com/in/ashley-keating-598977273, https://www.linkedin.com/in/davehutten, https://www.linkedin.com/in/kerry-hull-cpa-mba-83b17327, https://www.linkedin.com/in/loganhille, https://www.linkedin.com/in/jamie-easterling-07152826b"
,Civilization Ventures,San Francisco,CA,1,1,,,,5,,Health Care,2,Biotechnology,2,Medical,2,Biopharma,1,Therapeutics,1,civilizationventures.com,https://www.crunchbase.com/organization/civilization-ventures,https://www.linkedin.com/company/civilizationventures/,x,,,"https://www.linkedin.com/in/adrianbjames, https://www.linkedin.com/in/alex-w-7614b25a, https://www.linkedin.com/in/alexyoussef, https://www.linkedin.com/in/aliyahsilver, https://www.linkedin.com/in/allison-banuelos-a2a5b282, https://www.linkedin.com/in/allison-f-363b2099, https://www.linkedin.com/in/amir-abolfathi-a038861, https://www.linkedin.com/in/andrew-r-593066136, https://www.linkedin.com/in/angelicaparente, https://www.linkedin.com/in/aniqa-tasnim-7b4181204, https://www.linkedin.com/in/anjali-ramaswamy-5a16aa25, https://www.linkedin.com/in/betty-ha-phd, https://www.linkedin.com/in/catherine-laspina, https://www.linkedin.com/in/chanseoleemit, https://www.linkedin.com/in/christina-smolke-87a8b3b6, https://www.linkedin.com/in/clarangcummings, https://www.linkedin.com/in/cvduffy, https://www.linkedin.com/in/danielmshapiro, https://www.linkedin.com/in/davemai, https://www.linkedin.com/in/david-anderson-72a219132, https://www.linkedin.com/in/ebrahim-mostafavi-phd-04915952, https://www.linkedin.com/in/eirini-vamva-7595bb50, https://www.linkedin.com/in/eriona-hysolli-36314b203, https://www.linkedin.com/in/gaurav-shah-md-a435baa, https://www.linkedin.com/in/hgoodarzi, https://www.linkedin.com/in/irisklee, https://www.linkedin.com/in/james-dicarlo-md-phd-30b3a914, https://www.linkedin.com/in/jasminbjoseph, https://www.linkedin.com/in/jonathan-l-496669111, https://www.linkedin.com/in/jonathanaustingo, https://www.linkedin.com/in/joseph-k-peng, https://www.linkedin.com/in/justin-donnelly-biotech, https://www.linkedin.com/in/kaseyvrose, https://www.linkedin.com/in/kavya-pathak-5bb53893, https://www.linkedin.com/in/kenziewcarlson, https://www.linkedin.com/in/logan-l-959234108, https://www.linkedin.com/in/luruby, https://www.linkedin.com/in/matt-wheeler-cpa-ca-08536b18, https://www.linkedin.com/in/matteo-guareschi-03b49765, https://www.linkedin.com/in/miroslavgasparek, https://www.linkedin.com/in/mutagene, https://www.linkedin.com/in/nevillesanjana, https://www.linkedin.com/in/paklein, https://www.linkedin.com/in/pauldavidjohnson, https://www.linkedin.com/in/puwanat-sangkhapreecha-16475b118, https://www.linkedin.com/in/reem-abdel-haq, https://www.linkedin.com/in/ruxandra-t-53a20b129, https://www.linkedin.com/in/sam-bakri-30a4863, https://www.linkedin.com/in/santiago-a-838607ab, https://www.linkedin.com/in/sarafan, https://www.linkedin.com/in/sarah-jane-jones, https://www.linkedin.com/in/satnam-alag-487790, https://www.linkedin.com/in/seanpduffy, https://www.linkedin.com/in/shahramseyedinnoor, https://www.linkedin.com/in/shakkedhalperin, https://www.linkedin.com/in/shuhabelhag, https://www.linkedin.com/in/soniamaryamsetayesh, https://www.linkedin.com/in/sonya-iverson, https://www.linkedin.com/in/suppawat-kurt-kongthong-6662661b9, https://www.linkedin.com/in/tami-khazaei-8a39096b, https://www.linkedin.com/in/tendaichisowa, https://www.linkedin.com/in/themasap, https://www.linkedin.com/in/tiffanymchiu, https://www.linkedin.com/in/tom-schoenherr-06858733, https://www.linkedin.com/in/victorsadauskas",,"https://www.linkedin.com/in/shahramseyedinnoor, https://www.linkedin.com/in/soniamaryamsetayesh, https://www.linkedin.com/in/ericnwilliams, https://www.linkedin.com/in/angelicaparente, https://www.linkedin.com/in/jeewoo-kang, https://www.linkedin.com/in/sarahj-loveland"
,Claremont Creek Ventures,Oakland,CA,1,,,2,$305.0,74,13,Biotechnology,8,Enterprise Software,5,Medical Device,4,Health Care,4,Health Diagonstics,4,claremontcreek.com,https://www.crunchbase.com/organization/claremont-creek-ventures,linkedin.com/company/62711,x,,,,,"https://www.linkedin.com/in/randyhawks, https://www.linkedin.com/in/natgoldhaber, https://www.linkedin.com/in/sarah-quan-8b54705, https://www.linkedin.com/in/brad-webb-6b54742a, https://www.linkedin.com/in/cloudlee, https://www.linkedin.com/in/chris-vincent-05a63a9"
,ClearVision Equity Partners,San Diego,CA,1,,,,,8,,Health Care,2,Enterprise Software,2,Information Technology,2,Fertility,1,Internet,1,clearvisionequity.com,https://www.crunchbase.com/organization/clearvision-equity-partners,linkedin.com/company/17985162,x,,,,,"https://www.linkedin.com/in/jamesburdick, https://www.linkedin.com/in/mitch-patridge-0614b25, https://www.linkedin.com/in/alysiaphillips, https://www.linkedin.com/in/matt-steiner-6220754, https://www.linkedin.com/in/kay-menon-984095168, https://www.linkedin.com/in/minzhi-lv-592b061a, https://www.linkedin.com/in/ryanzachary"
,Co-Creation Capital,Menlo Park,CA,1,1,,1,$10.0,7,1,Internet,2,Software,2,Mechanical Design,1,Ad Targeting,1,Advertising,1,cocreationcapital.com,https://www.crunchbase.com/organization/co-creation-capital,,x,,,,,"https://www.linkedin.com/in/ashok-jain-4b5b528b, https://www.linkedin.com/in/brandon--beck, https://www.linkedin.com/in/vincent-tan-180324188, https://www.linkedin.com/in/kenneth-daelemans-90020715, https://www.linkedin.com/in/cocreationchampion, https://www.linkedin.com/in/ravisekhar, https://www.linkedin.com/in/shobha-nayar-8097a33a, https://www.linkedin.com/in/robin-shepherd-3018149"
,Cofounders Capital,Cary,NC,1,1,,2,$32.5,20,,Software,5,Information Technology,5,SaaS,4,Enterprise Software,3,Education,2,cofounderscapital.com,https://www.crunchbase.com/organization/cofounders-capital,https://www.linkedin.com/company/cofounders-capital/,x,,,,,"https://www.linkedin.com/in/davidgardner4, https://www.linkedin.com/in/danielacoley, https://www.linkedin.com/in/mcloughlintimothy, https://www.linkedin.com/in/samuelchinonsoubechu, https://www.linkedin.com/in/tobiaswalter, https://www.linkedin.com/in/gl-shivangi, https://www.linkedin.com/in/leahbtownsend, https://www.linkedin.com/in/scott-albert-aba87"
,Collaborative Fund,New York,NY,1,1,,4,$113.0,129,11,E-Commerce,14,Health Care,13,Mobile,13,Food & Beverage,12,Software,12,collaborativefund.com,https://www.crunchbase.com/organization/collaborative-fund#section-exits,https://www.linkedin.com/company/collaborative-fund/,x,,,"https://www.linkedin.com/in/craigjshapiro, https://www.linkedin.com/in/guy-vidra-b0585, https://www.linkedin.com/in/morgan-housel-5b473821",,"https://www.linkedin.com/in/craigjshapiro, https://www.linkedin.com/in/guy-vidra-b0585, https://www.linkedin.com/in/morgan-housel-5b473821"
,Come Up Capital,Minneapolis,MN,1,1,,1,$50.0,4,1,Restaurants,1,Computer,1,Delivery,1,Cloud management,1,Software,1,comeup.capital,https://www.crunchbase.com/organization/come-up-capital,https://www.linkedin.com/company/come-up-capital/,x,,,,,
,Comet Labs,San Francisco,CA,1,1,,,,36,2,Robotics,15,Hardware,6,Software,6,Artificial Intelligence,6,Drones,4,cometlabs.io,https://www.crunchbase.com/organization/comet-labs,https://www.linkedin.com/company/comet-labs/,x,,,"https://www.linkedin.com/in/byrnesandrew, https://www.linkedin.com/in/cindy-chen-2a2739b7, https://www.linkedin.com/in/gabriel-alvarado, https://www.linkedin.com/in/jerry-wang-37694a145, https://www.linkedin.com/in/lucas-wang-bd, https://www.linkedin.com/in/marygrahamv, https://www.linkedin.com/in/mingyao-wang-8b281745, https://www.linkedin.com/in/paulakarlovac",,"https://www.linkedin.com/in/byrnesandrew, https://www.linkedin.com/in/cindy-chen-2a2739b7, https://www.linkedin.com/in/gabriel-alvarado, https://www.linkedin.com/in/jerry-wang-37694a145, https://www.linkedin.com/in/lucas-wang-bd, https://www.linkedin.com/in/marygrahamv, https://www.linkedin.com/in/mingyao-wang-8b281745, https://www.linkedin.com/in/paulakarlovac"
,Commerce Ventures,San Francisco,CA,1,1,1,3,$45.6,71,6,FinTech,12,Mobile,11,Financial Service,9,E-Commerce,8,Internet,6,commercevc.com,https://www.crunchbase.com/organization/commerce-ventures,https://www.linkedin.com/company/commerce-ventures/,x,,,,,"https://www.linkedin.com/in/vivekkri, https://www.linkedin.com/in/matthewnichols, https://www.linkedin.com/in/ymarcelis, https://www.linkedin.com/in/zaryab-rasheed-8777832a6, https://www.linkedin.com/in/marek-strieker, https://www.linkedin.com/in/sjomaa"
,Commonwealth Capital,Boston,MA,1,,,1,$250.0,101,32,Software,11,Enterprise Software,10,Internet,7,Telecommunication,6,Mobile,5,commonwealthcapital.com,https://www.crunchbase.com/organization/commonwealth-capital-ventures,linkedin.com/company/136437,x,,,,,"https://www.linkedin.com/in/charlesdaviddreher, https://www.linkedin.com/in/andrew-kwan-61976897, https://www.linkedin.com/in/kevkane, https://www.linkedin.com/in/lodareth, https://www.linkedin.com/in/timothy-daniel-hogan-8b0a37, https://www.linkedin.com/in/kim-springsteen-abbott-72197915, https://www.linkedin.com/in/rosemary-fisher-546b126, https://www.linkedin.com/in/ariella-amy-90932625b"
,Communitas Capital,New York,NY,1,1,,1,,1,,Business Development,1,Shipping,1,Marketplace,1,Supply Chain Management,1,Financial Service,1,communitascapital.com,https://www.crunchbase.com/organization/communitas-asset-management,https://www.linkedin.com/company/communitas-capital-partners-llc/,x,,,"https://www.linkedin.com/in/parkerodrich, https://www.linkedin.com/in/tom-glocer-66729, https://www.linkedin.com/in/duncan-l-niederauer-429a711a",,"https://www.linkedin.com/in/doug-atkin-33b1b, https://www.linkedin.com/in/tom-glocer-66729, https://www.linkedin.com/in/duncan-l-niederauer-429a711a, https://www.linkedin.com/in/ajaysharma1104, https://www.linkedin.com/in/parkerodrich"
,Companyon Ventures,Boston,MA,1,,,,,7,,Mobile,3,Analytics,2,Software,2,Audio,1,CRM,1,companyon.vc,https://www.crunchbase.com/organization/companyon-capital,linkedin.com/company/11714932,x,,,,,"https://www.linkedin.com/in/ronnychatt, https://www.linkedin.com/in/firasraouf, https://www.linkedin.com/in/tlazay, https://www.linkedin.com/in/andrewwberg, https://www.linkedin.com/in/parthibsrivathsan, https://www.linkedin.com/in/davidmcfarlaneurl, https://www.linkedin.com/in/henry-ancona-5316a6, https://www.linkedin.com/in/alanwjohnson52"
,Compound Labs,San Francisco,CA,1,,,,,,,,,,,,,,,,,compound.finance,https://www.crunchbase.com/organization/compound-labs,https://www.linkedin.com/company/compoundfinance/,x,,,,,"https://www.linkedin.com/in/torreyatcitty, https://www.linkedin.com/in/athena-strauss-levy-095032249, https://www.linkedin.com/in/bankyadebajo, https://www.linkedin.com/in/aryeh-g-679a85164, https://www.linkedin.com/in/geoffrey-hayes-a0b0952a, https://www.linkedin.com/in/leanna-borbe-a26ab522a"
,Congruent Ventures,San Francisco,CA,1,1,,1,$92.0,7,,Internet of Things,3,Solor,2,Energy,1,Food & Beverage,1,Enterprise,1,congruentvc.com,https://www.crunchbase.com/organization/congruent-ventures,https://www.linkedin.com/company/congruent-ventures/,x,,,,,"https://www.linkedin.com/in/abe-yokell, https://www.linkedin.com/in/kevin-kopczynski, https://www.linkedin.com/in/suzie-parmar-cfa-46072289, https://www.linkedin.com/in/nicholas-adeyi, https://www.linkedin.com/in/tanuj-dutta, https://www.linkedin.com/in/nadiadugal"
,ConsenSys Ventures,Brooklyn,NY,1,,,1,$50.0,10,,Ethereum,4,Cryptocurrency,4,Blockchain,3,Bitcoin,2,Financial Service,2,consensys.vc,https://www.crunchbase.com/organization/consensys-ventures,linkedin.com/company/33188514,x,,,,,"https://www.linkedin.com/in/tdrossi, https://www.linkedin.com/in/kimberly-gomez-994746112, https://www.linkedin.com/in/natan-wise, https://www.linkedin.com/in/ammarbdm, https://www.linkedin.com/in/tia-zimmer-126026118, https://www.linkedin.com/in/alcarazfj, https://www.linkedin.com/in/joseph-lubin-48406489, https://www.linkedin.com/in/gonzalo-sanchez-vargas-8572b066"
,Contour Venture Partners,New York,NY,1,1,1,2,$81.0,77,13,SaaS,11,Enterprise Software,11,Analytics,10,Software,9,E-Commerce,4,contourventures.com,https://www.crunchbase.com/organization/contour-ventures,https://www.linkedin.com/company/contour-venture-partners/,x,,,"https://www.linkedin.com/in/owendavisnyc, https://www.linkedin.com/in/bob-greene-66a19411",,"https://www.linkedin.com/in/matt-g-59820, https://www.linkedin.com/in/bob-greene-66a19411, https://www.linkedin.com/in/owendavisnyc"
,Contrary Capital,New York,NY,1,,,1,$2.2,,,,,,,,,,,,,contrarycap.com,https://www.crunchbase.com/organization/contrary-capital,https://www.linkedin.com/company/contrary-capital/,x,,,,,"https://www.linkedin.com/in/mcthayer, https://www.linkedin.com/in/andrew-michelson-274b0b172, https://www.linkedin.com/in/fletcher-cox, https://www.linkedin.com/in/jkryca, https://www.linkedin.com/in/john-pesce, https://www.linkedin.com/in/jacob-werzinsky"
,Converge VC,Cambridge,MA,1,1,1,4,$60.0,149,21,,,,,,,,,,,converge.vc,,https://www.linkedin.com/company/converge-venture-partners/,x,,,,,"https://www.linkedin.com/in/anshuagarwal, https://www.linkedin.com/in/jamesfalkoff, https://www.linkedin.com/in/maiaheymann, https://www.linkedin.com/in/deepanshuchaudhary, https://www.linkedin.com/in/kevinfrancisfernandes, https://www.linkedin.com/in/gianna-scaturro-831528266"
,Conversion Capital,New York,NY,1,,,3,$55.0,35,5,Financial Service,8,Finance,7,Software,6,FinTech,6,Artificial Intelligence,5,ConversionCapital.com,https://www.crunchbase.com/organization/conversion-capital-llc,linkedin.com/company/2871805,x,,,"https://www.linkedin.com/in/andrewunger, https://www.linkedin.com/in/asucre, https://www.linkedin.com/in/christianlawless, https://www.linkedin.com/in/erin-james-collard-8369732, https://www.linkedin.com/in/eugenemarinelli, https://www.linkedin.com/in/max-humphrey-cpa-msa-67102786",,"https://www.linkedin.com/in/andrewunger, https://www.linkedin.com/in/asucre, https://www.linkedin.com/in/christianlawless, https://www.linkedin.com/in/erin-james-collard-8369732, https://www.linkedin.com/in/eugenemarinelli, https://www.linkedin.com/in/max-humphrey-cpa-msa-67102786"
,Corazon Capital,Chicago,IL,1,1,,2,$53.0,49,5,E-Commerce,7,Software,6,Mobile,4,Education,3,Internet,3,corazoncap.com,https://www.crunchbase.com/organization/corazon-capital,https://www.linkedin.com/company/corazon-capital-llc/,x,,,,,"https://www.linkedin.com/in/farsht, https://www.linkedin.com/in/joshgraves1, https://www.linkedin.com/in/greg-johnston, https://www.linkedin.com/in/smritijayaraman, https://www.linkedin.com/in/tendai-brais, https://www.linkedin.com/in/rebecca-wing, https://www.linkedin.com/in/alison-stillman-31b97b56, https://www.linkedin.com/in/aashadave"
,Core Ventures,Palo Alto,CA,1,1,,2,$30.0,12,1,Software,3,Big Data,3,Digital Media,2,Machine Learning,2,Consumer Electronics,2,coreventuresgroup.com,https://www.crunchbase.com/organization/core-ventures-group,https://www.linkedin.com/company/core-ventures-group/,x,,,,,"https://www.linkedin.com/in/david-robinson-sales, https://www.linkedin.com/in/linda-scrabeck-0b26b214, https://www.linkedin.com/in/stephanie-becker-126922185, https://www.linkedin.com/in/martel-paul-68102b231, https://www.linkedin.com/in/elizabeth-tracy-4a1228388, https://www.linkedin.com/in/sophia-sytsma-32352649, https://www.linkedin.com/in/kari-woodward, https://www.linkedin.com/in/aleecyaforeman222"
,Corigin Ventures,New York,NY,1,1,,1,$22.1,48,5,Mobile,6,Consumer,5,E-Commerce,5,Real Estate,5,FinTech,5,coriginventures.com,https://www.crunchbase.com/organization/corigin-ventures-2,https://www.linkedin.com/company/corigin-ventures/,x,,,"https://www.linkedin.com/in/aubrie-pagano-14371bb, https://www.linkedin.com/in/daniel-fetner-39097535, https://www.linkedin.com/in/david-goldberg-056a973, https://www.linkedin.com/in/josh-jagota-38744194, https://www.linkedin.com/in/lorraine-sanders, https://www.linkedin.com/in/raymondupdyke, https://www.linkedin.com/in/ryanfreedman1",,"https://www.linkedin.com/in/ryanfreedman1, https://www.linkedin.com/in/aubrie-pagano-14371bb, https://www.linkedin.com/in/david-goldberg-056a973, https://www.linkedin.com/in/daniel-fetner-39097535"
,Coriolis Ventures,New York,NY,1,,,,,8,3,Advertising,5,Internet,3,Digital Media,3,Analytics,2,Market  Research,1,coriolisventures.com,https://www.crunchbase.com/organization/coriolis-ventures,linkedin.com/company/3071619,x,,,,,"https://www.linkedin.com/in/sarahwking, https://www.linkedin.com/in/bradbender, https://www.linkedin.com/in/ruan-philipe-alves-a2b56a271"
,Cota Capital,San Francisco,CA,1,,,3,$59.5,39,2,Software,6,Health Care,5,Analytics,5,Financial Service,4,Internet,3,cotacapital.com,https://www.crunchbase.com/organization/cota-capital,linkedin.com/company/6391492,x,,,"https://www.linkedin.com/in/bobby-yazdani-015a13a, https://www.linkedin.com/in/raviravikumar",,"https://www.linkedin.com/in/bobby-yazdani-015a13a, https://www.linkedin.com/in/raviravikumar"
,Counterview Capital,New York,NY,1,,,1,,20,5,SaaS,5,Enterprise Software,4,E-Commerce,3,Security,3,Software,3,counterview.vc,https://www.crunchbase.com/organization/bds-venture-fund,https://www.linkedin.com/company/counterview-capital/,x,,,,,"https://www.linkedin.com/in/brian-rubenstein-4aa4b774, https://www.linkedin.com/in/barry-rubenstein-5081b884, https://www.linkedin.com/in/evanburnstein, https://www.linkedin.com/in/bart-houlahan-0a9728244, https://www.linkedin.com/in/shaistah-bahrainwala, https://www.linkedin.com/in/nihal-gowravaram, https://www.linkedin.com/in/will-eckert-3029999b, https://www.linkedin.com/in/zac-mcclure-4356b96"
,Courtside Ventures,New York,NY,1,1,,1,$35.0,26,2,Sports,7,Gaming,4,Marketplace,3,Media and Entertainment,3,Mobile Apps,3,courtsidevc.com,https://www.crunchbase.com/organization/courtside-ventures,https://www.linkedin.com/company/courtsidevc/,x,,,"https://www.linkedin.com/in/cortpost, https://www.linkedin.com/in/deepenparikh, https://www.linkedin.com/in/devarispbrown, https://www.linkedin.com/in/hurleynyc, https://www.linkedin.com/in/joevennare, https://www.linkedin.com/in/kaibond, https://www.linkedin.com/in/larryfitzgeraldjr, https://www.linkedin.com/in/oliver-ressler-1b9668178, https://www.linkedin.com/in/ryanspoon, https://www.linkedin.com/in/stalbow, https://www.linkedin.com/in/vasudevkulkarni, https://www.linkedin.com/in/vennare","https://www.linkedin.com/in/cortpost, https://www.linkedin.com/in/deepenparikh, https://www.linkedin.com/in/devarispbrown, https://www.linkedin.com/in/hurleynyc, https://www.linkedin.com/in/joevennare, https://www.linkedin.com/in/kaibond, https://www.linkedin.com/in/larryfitzgeraldjr, https://www.linkedin.com/in/oliver-ressler-1b9668178, https://www.linkedin.com/in/ryanspoon, https://www.linkedin.com/in/stalbow, https://www.linkedin.com/in/vasudevkulkarni, https://www.linkedin.com/in/vennare","https://www.linkedin.com/in/deepenparikh, https://www.linkedin.com/in/vasudevkulkarni, https://www.linkedin.com/in/kaibond, https://www.linkedin.com/in/cortpost"
