Firm Name,Investment Sector,Location (City),Investment Stage,URL,linkedin-private-codex,linkedin-private-claude,linkedin-private-cursor
Cloud Apps Capital Partners,Wireless,"San Francisco, CA",Early Stage Venture,http://www.cloudappsmanagement.com,,,"https://www.linkedin.com/in/sujanshan, https://www.linkedin.com/in/srinevasanms, https://www.linkedin.com/in/shariarmohajer, https://www.linkedin.com/in/matt-holleran-291a773, https://www.linkedin.com/in/judyloehr, https://www.linkedin.com/in/rachel-r-03801147"
Cloudstone Venture Fund,"Healthcare, Industrials, Information Technology","Redwood City, CA","Buyout, Early Stage: Start-up, Growth, Venture (General)",www.cloudstonevc.com,,,"https://www.linkedin.com/in/hasna-kasmi, https://www.linkedin.com/in/yong-tao-2b3a0913, https://www.linkedin.com/in/alexa-willson, https://www.linkedin.com/in/tom-krummel-bb957a124"
Co=Creation=Capital,"Technology, Business Services","Menlo Park, CA","Early Stage Venture, Seed",www.cocreationcapital.com/,,,"https://www.linkedin.com/in/ashok-jain-4b5b528b, https://www.linkedin.com/in/kenneth-daelemans-90020715"
Cofounders Capital,"Technology, IT, Software, Healthcare IT","Cary, NC","Early Stage Venture, Seed",www.cofounderscapital.com,,,"https://www.linkedin.com/in/davidgardner4, https://www.linkedin.com/in/tobiaswalter, https://www.linkedin.com/in/mcloughlintimothy, https://www.linkedin.com/in/danielacoley, https://www.linkedin.com/in/leahbtownsend, https://www.linkedin.com/in/scott-albert-aba87, https://www.linkedin.com/in/samuelchinonsoubechu"
Collaborative Fund,"Technology, Consumer Products, Consumer Services, Internet","New York, NY","Early Stage Venture, Seed",www.collaborativefund.com,"https://www.linkedin.com/in/craigjshapiro, https://www.linkedin.com/in/guy-vidra-b0585, https://www.linkedin.com/in/morgan-housel-5b473821",,"https://www.linkedin.com/in/craigjshapiro, https://www.linkedin.com/in/guy-vidra-b0585, https://www.linkedin.com/in/morgan-housel-5b473821"
Come Up Capital,"Technology, Internet","Minneapolis, MN","Early Stage Venture, Seed",http://www.comeup.capital,,,https://www.linkedin.com/in/davemao
Comet Labs,"Artificial Intelligence, Hardware, Incubators, Machine Learning, Robotics, Venture Capital","San Francisco, CA","Early Stage Venture, Seed",www.cometlabs.io,"https://www.linkedin.com/in/byrnesandrew, https://www.linkedin.com/in/cindy-chen-2a2739b7, https://www.linkedin.com/in/gabriel-alvarado, https://www.linkedin.com/in/jerry-wang-37694a145, https://www.linkedin.com/in/lucas-wang-bd, https://www.linkedin.com/in/marygrahamv, https://www.linkedin.com/in/mingyao-wang-8b281745, https://www.linkedin.com/in/paulakarlovac",,"https://www.linkedin.com/in/byrnesandrew, https://www.linkedin.com/in/cindy-chen-2a2739b7, https://www.linkedin.com/in/gabriel-alvarado, https://www.linkedin.com/in/jerry-wang-37694a145, https://www.linkedin.com/in/lucas-wang-bd, https://www.linkedin.com/in/marygrahamv, https://www.linkedin.com/in/mingyao-wang-8b281745, https://www.linkedin.com/in/paulakarlovac"
Commerce Ventures,"Telecoms, Retail, Internet","San Francisco, CA","Early Stage Venture, Late Stage Venture, Seed",http://www.commercevc.com,,,"https://www.linkedin.com/in/danrosen, https://www.linkedin.com/in/matthewnichols, https://www.linkedin.com/in/ymarcelis, https://www.linkedin.com/in/vivekkri, https://www.linkedin.com/in/christopherlwang, https://www.linkedin.com/in/dylanmfitzpatrick, https://www.linkedin.com/in/danielleregalado, https://www.linkedin.com/in/hiya-r-shah, https://www.linkedin.com/in/jaydenlott, https://www.linkedin.com/in/brenda-robbins-39331a9, https://www.linkedin.com/in/laura-genty-b14007118, https://www.linkedin.com/in/michelebattle, https://www.linkedin.com/in/andrea-field-52660b, https://www.linkedin.com/in/djeckert, https://www.linkedin.com/in/peter-kight-12617357"
Communitas Capital,"Business Services, Real Estate, Telecoms, Media, and Communications","New York, NY","Early Stage, Early Stage: Start-up",communitascapital.com/,"https://www.linkedin.com/in/parkerodrich, https://www.linkedin.com/in/tom-glocer-66729, https://www.linkedin.com/in/duncan-l-niederauer-429a711a",,"https://www.linkedin.com/in/parkerodrich, https://www.linkedin.com/in/tom-glocer-66729, https://www.linkedin.com/in/duncan-l-niederauer-429a711a"
Compound Labs,"Block chain, Ethereum, Internet","San Francisco, CA",Seed,compound.finance,,,"https://www.linkedin.com/in/torreyatcitty, https://www.linkedin.com/in/geoffrey-hayes-a0b0952a, https://www.linkedin.com/in/davit-tamrazyan, https://www.linkedin.com/in/jakechervinsky, https://www.linkedin.com/in/jaysonhobby, https://www.linkedin.com/in/kevincheng96, https://www.linkedin.com/in/bankyadebajo"
Congruent Ventures,Clean Technology,"San Francisco, CA","Early Stage Venture, Seed",http://www.congruentvc.com,,,"https://www.linkedin.com/in/abe-yokell, https://www.linkedin.com/in/posamentier, https://www.linkedin.com/in/tanuj-dutta, https://www.linkedin.com/in/kevin-kopczynski, https://www.linkedin.com/in/mariannewu, https://www.linkedin.com/in/kate-a-lee"
Connectivity Ventures,"Business Services, Healthcare, Information Technology","New York, NY",Early Stage,www.connectivitycapitalpartners.com,,,"https://www.linkedin.com/in/denmarkwest, https://www.linkedin.com/in/joyce-fensterstock-96326a"
ConsenSys Ventures,Technology,"Brooklyn, NY",Early Stage: Seed,www.consensys.net,,,"https://www.linkedin.com/in/joseph-lubin-48406489, https://www.linkedin.com/in/rushthomas, https://www.linkedin.com/in/alexeysokolin"
Contour Venture Partners,"Finance, SaaS","New York, NY","Early Stage Venture, Late Stage Venture, Private Equity, Seed",www.contourventures.com,"https://www.linkedin.com/in/owendavisnyc, https://www.linkedin.com/in/bob-greene-66a19411",,"https://www.linkedin.com/in/owendavisnyc, https://www.linkedin.com/in/bob-greene-66a19411"
Contrary Capital,Financial Services,"New York, NY",Seed,contrarycap.com,,,"https://www.linkedin.com/in/eric-tarczynski-84880230, https://www.linkedin.com/in/kyle-harrison-9274b278, https://www.linkedin.com/in/rlescoezec, https://www.linkedin.com/in/jenniferyw, https://www.linkedin.com/in/michelle-brown-04314590, https://www.linkedin.com/in/brooke-presten-585562124, https://www.linkedin.com/in/davidrobertoko, https://www.linkedin.com/in/sachinmaini, https://www.linkedin.com/in/claireburch, https://www.linkedin.com/in/dianakhademi"
Coplex Ventures,Software,"Phoenix, AZ",Seed,http://www.coplexventures.com,,,"https://www.linkedin.com/in/tcoppel, https://www.linkedin.com/in/duran-cesur, https://www.linkedin.com/in/bizguy, https://www.linkedin.com/in/torenmatthew"
Corazon Capital,Technology,"Chicago, IL","Seed, Series A",www.corazoncap.com,,,"https://www.linkedin.com/in/samyagan, https://www.linkedin.com/in/farsht, https://www.linkedin.com/in/philschwarz, https://www.linkedin.com/in/greg-johnston, https://www.linkedin.com/in/smritijayaraman, https://www.linkedin.com/in/alison-stillman-31b97b56"
Core Ventures Group,Technology,"Palo Alto, CA","Seed, Early Stage: Start-up",http://coreventuresgroup.com/,,,"https://www.linkedin.com/in/joannadrake, https://www.linkedin.com/in/seiji-miyasaka-3905a412"
Corigin Ventures,"Business Services, Consumer Discretionary, Diversified, Healthcare, Information Technology, Telecoms, Media, and Communication","New York, NY","Early Stage, Early Stage: Seed, Early Stage: Start-up",www.coriginventures.com,"https://www.linkedin.com/in/aubrie-pagano-14371bb, https://www.linkedin.com/in/daniel-fetner-39097535, https://www.linkedin.com/in/david-goldberg-056a973, https://www.linkedin.com/in/josh-jagota-38744194, https://www.linkedin.com/in/lorraine-sanders, https://www.linkedin.com/in/raymondupdyke, https://www.linkedin.com/in/ryanfreedman1",,"https://www.linkedin.com/in/aubrie-pagano-14371bb, https://www.linkedin.com/in/daniel-fetner-39097535, https://www.linkedin.com/in/david-goldberg-056a973, https://www.linkedin.com/in/josh-jagota-38744194, https://www.linkedin.com/in/lorraine-sanders, https://www.linkedin.com/in/raymondupdyke, https://www.linkedin.com/in/ryanfreedman1"
Cota Capital,Technology,"San Francisco, CA",Early Stage Venture,http://www.cotacapital.com,"https://www.linkedin.com/in/bobby-yazdani-015a13a, https://www.linkedin.com/in/raviravikumar",,"https://www.linkedin.com/in/bobby-yazdani-015a13a, https://www.linkedin.com/in/raviravikumar"
Counterview Capital,Diversified,"New York, NY",Seed,http://counterview.vc/,,,"https://www.linkedin.com/in/brian-rubenstein-4aa4b774, https://www.linkedin.com/in/evanburnstein, https://www.linkedin.com/in/barry-rubenstein-5081b884"
Courtside Ventures,"Technology, Media, Leisure","New York, NY","Early Stage Venture, Seed",http://www.courtsidevc.com,"https://www.linkedin.com/in/cortpost, https://www.linkedin.com/in/deepenparikh, https://www.linkedin.com/in/devarispbrown, https://www.linkedin.com/in/hurleynyc, https://www.linkedin.com/in/joevennare, https://www.linkedin.com/in/kaibond, https://www.linkedin.com/in/larryfitzgeraldjr, https://www.linkedin.com/in/oliver-ressler-1b9668178, https://www.linkedin.com/in/ryanspoon, https://www.linkedin.com/in/stalbow, https://www.linkedin.com/in/vasudevkulkarni, https://www.linkedin.com/in/vennare","https://www.linkedin.com/in/cortpost, https://www.linkedin.com/in/deepenparikh, https://www.linkedin.com/in/devarispbrown, https://www.linkedin.com/in/hurleynyc, https://www.linkedin.com/in/joevennare, https://www.linkedin.com/in/kaibond, https://www.linkedin.com/in/larryfitzgeraldjr, https://www.linkedin.com/in/oliver-ressler-1b9668178, https://www.linkedin.com/in/ryanspoon, https://www.linkedin.com/in/stalbow, https://www.linkedin.com/in/vasudevkulkarni, https://www.linkedin.com/in/vennare","https://www.linkedin.com/in/cortpost, https://www.linkedin.com/in/deepenparikh, https://www.linkedin.com/in/devarispbrown, https://www.linkedin.com/in/hurleynyc, https://www.linkedin.com/in/joevennare, https://www.linkedin.com/in/kaibond, https://www.linkedin.com/in/larryfitzgeraldjr, https://www.linkedin.com/in/oliver-ressler-1b9668178, https://www.linkedin.com/in/ryanspoon, https://www.linkedin.com/in/stalbow, https://www.linkedin.com/in/vasudevkulkarni, https://www.linkedin.com/in/vennare"
CoVenture,"Technology, Software","New York, NY",Early Stage Venture,www.coventure.vc,,,"https://www.linkedin.com/in/alihamed, https://www.linkedin.com/in/brian-harwitt-7338bb54, https://www.linkedin.com/in/isaacstrulowitzcpa, https://www.linkedin.com/in/elizabeth-ostrander-cfa"
Cowboy Ventures,"Technology, Consumer Products, IT, High-Tech, Internet, Information Services","Palo Alto, CA","Early Stage Venture, Seed",www.cowboy.vc,"https://www.linkedin.com/in/aileenwlee, https://www.linkedin.com/in/caroline-duffy-vc, https://www.linkedin.com/in/rohan-puranik-75554090",,"https://www.linkedin.com/in/aileenwlee, https://www.linkedin.com/in/caroline-duffy-vc, https://www.linkedin.com/in/rohan-puranik-75554090"
Craftsman Capital Partners,"Business Services, Consumer Discretionary, Energy and Utilities, Healthcare, Industrials, Information Technology","Dallas, TX","Complex Situation, Divestiture, Growth, Management Buyout, Recapitalisation, Special Situations",www.craftsmancapitalpartners.com,,,"https://www.linkedin.com/in/barrett-dean-226780, https://www.linkedin.com/in/will-walters-860ab9124"
Creative Ventures,"AgTech, Artificial Intelligence, Computer Vision, Construction, Health Care, Industrial, Manufacturing, Robotics, Venture Capital","San Francisco, CA","Early Stage Venture, Seed",www.creativeventures.vc,"https://www.linkedin.com/in/jwang10, https://www.linkedin.com/in/kulika-weizman",,"https://www.linkedin.com/in/jwang10, https://www.linkedin.com/in/kulika-weizman"
Crestlight,"Technology, Retail, Transportation, Manufacturing, Internet, Logistics","Palo Alto, CA",Seed,www.crestlight.com,,,"https://www.linkedin.com/in/edward-neblett-49642649, https://www.linkedin.com/in/ajay-goel-55b6b151, https://www.linkedin.com/in/daniel-weiner-a90111103, https://www.linkedin.com/in/kelly-lim-a502a311, https://www.linkedin.com/in/andrew-bonchick, https://www.linkedin.com/in/regankennedy, https://www.linkedin.com/in/jenshorstmann"
Cross Culture Ventures,Diversified,"Los Angeles, CA",Early Stage,crossculturevc.com,,,"https://www.linkedin.com/in/marloncnichols, https://www.linkedin.com/in/suzyryoo, https://www.linkedin.com/in/danuelbrown"
Cross Valley,"Technology, Logistics, Wireless, Healthcare IT","Philadelphia, PA",Early Stage,www.crossvalley.vc,,,"https://www.linkedin.com/in/lorrie-rogers-539961216, https://www.linkedin.com/in/jongos, https://www.linkedin.com/in/joshirj"
CrowdFunder,"Crowdfunding, Financial Services","Los Angeles, CA","Crowdfunding, Early Stage Venture, Seed",www.crowdfunder.com/,,,"https://www.linkedin.com/in/dawn-bebe, https://www.linkedin.com/in/garrett-rhoads-07b3a799, https://www.linkedin.com/in/rebecca-lisica-94b6991, https://www.linkedin.com/in/simondev, https://www.linkedin.com/in/graeme-roy, https://www.linkedin.com/in/jasmine-snow-98b222368, https://www.linkedin.com/in/davin-poonwassie"
CrunchFund,"IT, Software, Internet, Gaming","San Francisco, CA","Early Stage Venture, Late Stage Venture, Seed",www.cf.vc/,,,"https://www.linkedin.com/in/kerri-vanz-4988a3153, https://www.linkedin.com/in/sarahxguo, https://www.linkedin.com/in/mninthara, https://www.linkedin.com/in/garyvaynerchuk, https://www.linkedin.com/in/nathanbenaich, https://www.linkedin.com/in/alexandra-tieu-62845b6, https://www.linkedin.com/in/prakhar-gupta-corporatefinance"
Crystal Tech Fund,Technology,"Arlington, VA",Seed,www.crystalcity.org,,,"https://www.linkedin.com/in/golanjason, https://www.linkedin.com/in/jonathancrystal, https://www.linkedin.com/in/alan-strauss-24184129, https://www.linkedin.com/in/natalie-brod-72601640, https://www.linkedin.com/in/celina-smith-2726a8201, https://www.linkedin.com/in/charles-totty-31922740, https://www.linkedin.com/in/steven-brod-11971015"
Crystal Towers Capital,Technology,"New York, NY","Early Stage: Seed, Fund of Funds, Growth",http://www.crystaltowersapartments.com/,,,"https://www.linkedin.com/in/tikhonbernstam, https://www.linkedin.com/in/alexbangash"
CSR Venture Capital,"Transportation, Manufacturing, Construction, Energy, Clean Technology, Materials","Arlington, VA","Seed, Early Stage Venture",http://www.crystaltowersapartments.com/,,,"https://www.linkedin.com/in/prasanjeet-sinha-15832020a, https://www.linkedin.com/in/marilena-kakkou-2713b094"
Cultivation Capital,https://www.harrisonmetal.com/,"St Louis, MO","Early Stage Venture, Seed",http://www.cultivationcapital.com,"https://www.linkedin.com/in/cliffholekamp, https://www.linkedin.com/in/kylewelborn, https://www.linkedin.com/in/camilapetignat",,"https://www.linkedin.com/in/cliffholekamp, https://www.linkedin.com/in/kylewelborn, https://www.linkedin.com/in/camilapetignat"
CVP,Technology,"Cambridge, MA","Early Stage Venture, Late Stage Venture, Seed",convergevp.com/,,,"https://www.linkedin.com/in/max-bertil-johansson-manasse-86146b226, https://www.linkedin.com/in/anil-mundra-k-285aa0329, https://www.linkedin.com/in/paolo-alberto-martin-del-prete-cvp-94516213b, https://www.linkedin.com/in/nhtrungnghia, https://www.linkedin.com/in/rashmikk, https://www.linkedin.com/in/alfreddietel, https://www.linkedin.com/in/edmond-price, https://www.linkedin.com/in/donniebachan, https://www.linkedin.com/in/nilanjanabhowmik, https://www.linkedin.com/in/maiaheymann, https://www.linkedin.com/in/anshuagarwal, https://www.linkedin.com/in/jamesfalkoff, https://www.linkedin.com/in/jason-king-cpa-081a2b2"
Darling Ventures,"Mobile Technology, Data Intelligence","San Francisco, CA",Seed,www.DarlingVentures.com,"https://www.linkedin.com/in/danieldarling, https://www.linkedin.com/in/pascal-unger",,"https://www.linkedin.com/in/danieldarling, https://www.linkedin.com/in/pascal-unger"
Data Collective,"Technology, IT, Computer Services, IT Infrastructure","San Francisco, CA","Early Stage Venture, Late Stage Venture, Seed",www.dcvc.com,,,"https://www.linkedin.com/in/zackbogue, https://www.linkedin.com/in/mattocko, https://www.linkedin.com/in/hardimanjames, https://www.linkedin.com/in/alitamaseb, https://www.linkedin.com/in/sicrosby"
Data Point Capital,Internet,"Boston, MA","Early Stage Venture, Seed",www.datapointcapital.com,,,"https://www.linkedin.com/in/mike-majors-43398, https://www.linkedin.com/in/scott-savitz-19837a91, https://www.linkedin.com/in/geoff-oblak-31b2298, https://www.linkedin.com/in/stevekurylo, https://www.linkedin.com/in/bruce-revzin, https://www.linkedin.com/in/evan-kornack-054a1513, https://www.linkedin.com/in/daniel-lynch-a903635"
Defy Partners,"Financial Services, Technology","Woodside, CA",Early Stage Venture,https://defy.vc/,,,"https://www.linkedin.com/in/neil-sequeira-76739a40, https://www.linkedin.com/in/traevassallo, https://www.linkedin.com/in/amyyin, https://www.linkedin.com/in/brianrothenberg, https://www.linkedin.com/in/stevemiller18, https://www.linkedin.com/in/medhakagarwal, https://www.linkedin.com/in/pcshah, https://www.linkedin.com/in/adam-s-park, https://www.linkedin.com/in/noah-lin17, https://www.linkedin.com/in/brosin"
Designer Fund,Diversified,"San Francisco, CA",Start-up,www.designerfund.com,,,"https://www.linkedin.com/in/benblumenrose, https://www.linkedin.com/in/robynpark, https://www.linkedin.com/in/jacqueline-berardo-princetonu, https://www.linkedin.com/in/mayablumenfeld, https://www.linkedin.com/in/eric-sundstrom-76bb76a9, https://www.linkedin.com/in/stevevassallo, https://www.linkedin.com/in/davebags, https://www.linkedin.com/in/santhi-analytis, https://www.linkedin.com/in/alexander-diehl-a382702, https://www.linkedin.com/in/alissabriggs, https://www.linkedin.com/in/bensiscovick, https://www.linkedin.com/in/becker513, https://www.linkedin.com/in/dan-bomze-a078, https://www.linkedin.com/in/danielscrivner, https://www.linkedin.com/in/dantley, https://www.linkedin.com/in/diogenesbrito, https://www.linkedin.com/in/heather-phillips, https://www.linkedin.com/in/erondu, https://www.linkedin.com/in/scott-tong, https://www.linkedin.com/in/vanlancker"
Detroit Venture Partners,"Technology, High-Tech, Software, Digital Media, IT Security","Detroit, MI","Early Stage Venture, Seed",www.detroit.vc,,,"https://www.linkedin.com/in/jacobdavidcohen, https://www.linkedin.com/in/jstasik, https://www.linkedin.com/in/haemi-kim-cpa-18523521, https://www.linkedin.com/in/corytincher, https://www.linkedin.com/in/lindseykilbride, https://www.linkedin.com/in/kaileydurant, https://www.linkedin.com/in/gabe-karp-1b772a1b, https://www.linkedin.com/in/delaneparnell, https://www.linkedin.com/in/katemhernandez"
DHVC,"Technology, Telecoms, IT, High-Tech, Software, Internet, Computer Services, Medical Devices, Materials","Palo Alto, CA","Early Stage Venture, Late Stage Venture, Seed",http://www.danhuacap.com,"https://www.linkedin.com/in/charlotte-lee-b91a1095, https://www.linkedin.com/in/lingyao-gao-272247b3",,"https://www.linkedin.com/in/charlotte-lee-b91a1095, https://www.linkedin.com/in/lingyao-gao-272247b3"
Digital Currency Group,"Technology, Financial Services, Software, IT Security, IT Infrastructure","New York, NY","Early Stage Venture, Late Stage Venture, Seed",http://www.dcg.co,,,"https://www.linkedin.com/in/jerry-adams-franklin, https://www.linkedin.com/in/daniel-morgan-871841224, https://www.linkedin.com/in/mike-dimiceli-a5045a9, https://www.linkedin.com/in/alexander-dominik-j-7164b6242, https://www.linkedin.com/in/alicianaomi, https://www.linkedin.com/in/puja-77b9802"
Divergent Ventures,"Big Data, Cloud Computing, Storage","Seattle, WA","Early Stage Venture, Late Stage Venture, Seed",www.divergentvc.com,,,"https://www.linkedin.com/in/uhriaha-aguilar, https://www.linkedin.com/in/john-bandy-62427216b, https://www.linkedin.com/in/thejeremyharvey, https://www.linkedin.com/in/melanie-smith-032881160, https://www.linkedin.com/in/lucy-wang-5a560525, https://www.linkedin.com/in/larsleckie"
Diversis Capital,"Business Services, Clean Technology, Consumer Discretionary, Diversified, Energy and Utilities, Food and Agriculture, Healthcare, Industrials, Information Technology, Materials, Real Estate, Telecoms, Media, and Communications","Los Angeles, CA","Buyout, Distressed Debt, Growth, Special Situations, Spin-Offs, Succession, Turnaround",www.diversiscapital.com,,,"https://www.linkedin.com/in/kevin-ma-0785507, https://www.linkedin.com/in/ron-nayot-a0b7b967, https://www.linkedin.com/in/mcamassa, https://www.linkedin.com/in/greg-chou-7423"
DominateFund,"Technology, Media, Marketing, Digital Media, Telecom Media","San Francisco, CA",Seed,www.angel.co/dominatefund,,,"https://www.linkedin.com/in/rumennik, https://www.linkedin.com/in/lennyrachitsky"
Donovan Ventures,"Oil & Gas, Energy","Houston, TX",Early Stage Venture,http://www.dv-llc.com,,,"https://www.linkedin.com/in/willpage, https://www.linkedin.com/in/jason-holton-018a8bb1, https://www.linkedin.com/in/johndonovanjr, https://www.linkedin.com/in/colin-donovan-3a228a133"
Dorm Room Fund,"Hardware, AI, Healthcare, E-Commerce, Enterprise, FoodTech, CleanTech, EdTech, Sports","Philadelphia, PA",Seed,dormroomfund.com,"https://www.linkedin.com/in/molly-fowler, https://www.linkedin.com/in/saras-agrawal, https://www.linkedin.com/in/catherinemek",,"https://www.linkedin.com/in/molly-fowler, https://www.linkedin.com/in/saras-agrawal, https://www.linkedin.com/in/catherinemek"
Dot Capital Corp,"Software, Internet, Digital Media, IT Infrastructure","New York, NY","Early Stage Venture, Late Stage Venture",http://www.dotcapital.com,,,"https://www.linkedin.com/in/serah-kantai-79b359310, https://www.linkedin.com/in/david-muhoro-1a206370, https://www.linkedin.com/in/mary-kanene-3145a437b, https://www.linkedin.com/in/alena-gladun-12045456, https://www.linkedin.com/in/joseph-r-saviano-1393aa11, https://www.linkedin.com/in/larry-bettino-98023674"
Draft VC,"Consumer Discretionary, Information Technology, Telecoms, Media, and Communications","San Francisco, CA","Early Stage, Early Stage: Seed, Early Stage: Start-up",www.draftvc.com,,,"https://www.linkedin.com/in/artiam, https://www.linkedin.com/in/davidjrodriguez"
Draper Nexus Ventures,"IT, Internet, Clean Technology, IT Security, IT Infrastructure","San Mateo, CA","Early Stage Venture, Seed",http://www.drapernexus.com,,,"https://www.linkedin.com/in/salilpradhan, https://www.linkedin.com/in/hiroriomaeda, https://www.linkedin.com/in/connor-duffy-28ba94111, https://www.linkedin.com/in/kyoheimukaigawa, https://www.linkedin.com/in/yuya-y, https://www.linkedin.com/in/fredericpeyrot"
Dream Machine,"Business Services, Consumer Discretionary, Information Technology, Telecoms, Media, and Communications","Palo Alto, CA","Early Stage, Early Stage: Seed",www.dreammachine.vc,,,"https://www.linkedin.com/in/richardscioli, https://www.linkedin.com/in/niamh-kavanagh-7629a5134, https://www.linkedin.com/in/pargett, https://www.linkedin.com/in/sierra-stone-13a073100, https://www.linkedin.com/in/sunjingwen, https://www.linkedin.com/in/charliejabaley, https://www.linkedin.com/in/dylan-steinberg-38a9645"
DRK Foundation,Technology,"Menlo Park, CA",Venture (General),https://www.drkfoundation.org/,,,"https://www.linkedin.com/in/lisa-jordan-57339520, https://www.linkedin.com/in/holly-kuzmich, https://www.linkedin.com/in/timothy-sung-cho, https://www.linkedin.com/in/daniel-torres-balauro, https://www.linkedin.com/in/ananya-bhattacharya-drk, https://www.linkedin.com/in/mandysprice, https://www.linkedin.com/in/oliverrothschild, https://www.linkedin.com/in/jim-bildner, https://www.linkedin.com/in/bill-draper-945b67b"
Dundee Venture Capital,"Technology, Software, Internet, Business Services, Marketing","Omaha, NE","Early Stage Venture, Seed",http://www.dundeeventurecapital.com,"https://www.linkedin.com/in/cwilliams0801, https://www.linkedin.com/in/kalli-mustard-72b33232, https://www.linkedin.com/in/mark-hasebroock-a5076625",,"https://www.linkedin.com/in/cwilliams0801, https://www.linkedin.com/in/kalli-mustard-72b33232, https://www.linkedin.com/in/mark-hasebroock-a5076625"
Dynamo,"Technology, Supply Chain, Transportation, Industrials","Chattanooga, TN",Early Stage,https://dynamo.vc/,,,https://www.linkedin.com/in/santoshsankar
E14 Fund,"Consumer Discretionary, Healthcare, Information Technology","Cambridge, MA","Early Stage, Early Stage: Seed, Early Stage: Start-up",www.e14fund.com,"https://www.linkedin.com/in/emily-m-yu, https://www.linkedin.com/in/alaa-khaddaj, https://www.linkedin.com/in/anna-z-11774096, https://www.linkedin.com/in/annan-zhang, https://www.linkedin.com/in/annie-doris, https://www.linkedin.com/in/anoopsonar30, https://www.linkedin.com/in/artem-lukoianov, https://www.linkedin.com/in/bertvandereydt, https://www.linkedin.com/in/camronblackburn, https://www.linkedin.com/in/christopher-canova, https://www.linkedin.com/in/don-dong-won-lee-ab964b172, https://www.linkedin.com/in/evhaas, https://www.linkedin.com/in/fdoria, https://www.linkedin.com/in/hilal-dahleh-46018b145, https://www.linkedin.com/in/jatinjpatil, https://www.linkedin.com/in/jimmy-teng, https://www.linkedin.com/in/josephinelee1234, https://www.linkedin.com/in/julia-sircar-b28653139, https://www.linkedin.com/in/manvithaponnapati, https://www.linkedin.com/in/michael-wang-4ab10923a, https://www.linkedin.com/in/minimario, https://www.linkedin.com/in/sarah-melvin-90652548, https://www.linkedin.com/in/serena-bono-346982169, https://www.linkedin.com/in/tobinsouth, https://www.linkedin.com/in/tyler-holloway-482888141, https://www.linkedin.com/in/tzu-chieh-tang, https://www.linkedin.com/in/yukatkh",,"https://www.linkedin.com/in/emily-m-yu, https://www.linkedin.com/in/alaa-khaddaj, https://www.linkedin.com/in/anna-z-11774096, https://www.linkedin.com/in/annan-zhang, https://www.linkedin.com/in/annie-doris, https://www.linkedin.com/in/anoopsonar30, https://www.linkedin.com/in/artem-lukoianov, https://www.linkedin.com/in/bertvandereydt, https://www.linkedin.com/in/camronblackburn, https://www.linkedin.com/in/christopher-canova, https://www.linkedin.com/in/don-dong-won-lee-ab964b172, https://www.linkedin.com/in/evhaas, https://www.linkedin.com/in/fdoria, https://www.linkedin.com/in/hilal-dahleh-46018b145, https://www.linkedin.com/in/jatinjpatil, https://www.linkedin.com/in/jimmy-teng, https://www.linkedin.com/in/josephinelee1234, https://www.linkedin.com/in/julia-sircar-b28653139, https://www.linkedin.com/in/manvithaponnapati, https://www.linkedin.com/in/michael-wang-4ab10923a, https://www.linkedin.com/in/minimario, https://www.linkedin.com/in/sarah-melvin-90652548, https://www.linkedin.com/in/serena-bono-346982169, https://www.linkedin.com/in/tobinsouth, https://www.linkedin.com/in/tyler-holloway-482888141, https://www.linkedin.com/in/tzu-chieh-tang, https://www.linkedin.com/in/yukatkh"
Early Impact Ventures,Food and Agriculture,"San Francisco, CA","Early Stage, Early Stage: Seed",https://www.linkedin.com/company/early-impact-ventures,https://www.linkedin.com/pub/dir,,"https://www.linkedin.com/in/christinesltsai, https://www.linkedin.com/in/timchae, https://www.linkedin.com/in/bedyyang, https://www.linkedin.com/in/courtneyjpowell, https://www.linkedin.com/in/pauleyoo, https://www.linkedin.com/in/khailee, https://www.linkedin.com/in/tonywang1, https://www.linkedin.com/in/santiago-zavala-47a68b7, https://www.linkedin.com/in/vishalharnal, https://www.linkedin.com/in/amjadahmadvc, https://www.linkedin.com/in/amaldokhan, https://www.linkedin.com/in/andrewtrader, https://www.linkedin.com/in/jonsoberg"
Ecosystem Integrity Fund,"Technology, Environmental Services, Agriculture, Chemicals, Energy, Timber, Food, Natural Resources, Clean Technology, Renewable Energy, Shipping","San Francisco, CA","Early Stage Venture, Late Stage Venture",http://www.ecosystemintegrity.com,,,"https://www.linkedin.com/in/ca-kamal-maloo-6b867b1ab, https://www.linkedin.com/in/nishant-batra, https://www.linkedin.com/in/geoffeisenberg, https://www.linkedin.com/in/devin-whatley-62245716, https://www.linkedin.com/in/stwine, https://www.linkedin.com/in/bblaesser, https://www.linkedin.com/in/sethudelson, https://www.linkedin.com/in/sashanovogradbrown, https://www.linkedin.com/in/sjessica"
EES Ventures,"Energy, Clean Technology","Houston, TX","Early Stage Venture, Seed",www.eesventures.com,,,"https://www.linkedin.com/in/dr-rajendra-aparnathi-a4a3b488, https://www.linkedin.com/in/sean-k-bb5473273, https://www.linkedin.com/in/harprit-singh-2a168815b, https://www.linkedin.com/in/ann-margaux-gonzales-0b3041254, https://www.linkedin.com/in/naveen-saini-320391146, https://www.linkedin.com/in/mehta-mahek-27483398"
